temp_c,humidity,pressure_mb,wind_kph,precip_mm,latitude,longitude,depth_km,magnitude,final_label
2.2,76.0,1044.8,38.3,16.4,-49.4283,-8.074,10.0,4.5,2
17.2,97.0,973.1,68.9,4.5,31.703,-104.172,6.1383,3.9,2
-0.1,79.0,1045.3,23.5,6.6,52.6104,160.9417,22.815,4.9,2
37.8,84.0,1018.5,15.3,7.2,29.4111,129.1909,10.0,4.5,2
39.1,21.0,1005.4,74.9,2.0,-24.1879,-66.7496,182.238,5.0,2
16.2,52.0,1039.1,43.1,17.4,52.5473,160.8152,10.0,4.1,2
2.8,32.0,1032.1,79.6,4.7,50.8938,159.0869,10.0,5.0,2
16.3,79.0,1009.5,57.4,5.4,52.5153,158.3911,10.0,4.1,2
7.9,59.0,1012.2,74.2,19.6,-57.96,157.536,10.0,4.2,2
34.9,34.0,986.3,58.7,13.6,52.2135,161.644,10.0,4.8,2
36.4,25.0,992.3,68.4,14.0,51.9867,158.7715,78.895,4.4,2
-0.0,97.0,973.2,23.1,12.0,37.446,-23.8103,10.0,5.2,2
36.7,68.0,965.1,32.1,12.8,52.5755,160.6702,35.613,4.4,2
-3.1,63.0,1033.3,6.3,2.9,51.3378,159.3872,32.999,4.7,1
-3.6,80.0,1025.3,44.5,16.9,54.4344,-160.4278,29.196,3.5,2
-3.8,39.0,1014.8,17.9,19.1,54.5344,-160.0769,39.443,4.0,2
12.2,81.0,985.2,92.1,6.5,52.5367,161.0945,10.0,4.3,2
-3.6,28.0,957.1,88.8,5.6,19.2873,-64.5363,70.0,3.92,2
33.9,38.0,996.8,99.5,15.5,52.2109,160.841,10.0,4.7,2
-1.8,23.0,965.9,57.6,19.4,-22.2542,-68.4574,112.746,4.4,2
11.0,39.0,1003.7,55.1,1.9,51.2199,158.4085,35.0,4.6,2
37.0,86.0,989.9,20.0,17.3,52.1912,160.7387,10.0,4.3,2
15.9,45.0,961.1,14.7,0.6,35.939,-120.4895,9.48,3.15,0
30.2,88.0,1046.7,85.8,15.1,51.8752,160.099,35.0,5.2,2
20.2,43.0,1026.0,59.1,19.9,-1.7907,139.0965,16.885,4.9,2
12.3,59.0,982.4,25.4,13.6,19.265,-65.1243,71.0,3.77,2
27.0,88.0,987.0,89.1,17.9,51.6694,179.5682,82.747,5.1,2
30.4,93.0,967.1,29.9,15.7,50.2022,158.6381,10.0,4.6,2
15.2,81.0,1025.9,43.3,3.4,51.6577,159.4811,44.85,4.4,1
27.6,88.0,987.9,68.8,0.2,16.3981,-62.0676,174.988,4.3,2
13.1,68.0,984.8,91.1,17.4,51.4587,161.2101,10.0,4.7,2
36.4,57.0,1011.2,48.9,15.5,50.1129,158.7514,10.0,4.3,2
-4.1,32.0,1027.6,21.7,15.2,54.3892,-159.6564,36.473,3.0,2
39.2,39.0,1021.8,39.9,16.9,19.4891,-64.6718,41.0,3.85,2
5.5,87.0,962.3,52.2,9.1,-57.3384,-67.3971,10.0,4.3,2
37.6,94.0,972.4,26.8,11.5,18.249,-67.0781666666667,27.12,3.22,2
29.9,77.0,1016.8,90.3,12.8,51.0313,159.0254,10.0,4.4,2
0.7,45.0,1023.1,2.4,10.6,7.4423,126.5296,103.392,4.5,2
23.1,48.0,978.7,62.7,3.7,52.1637,160.6701,21.891,4.6,2
26.1,84.0,998.5,29.7,0.3,50.1258,159.5248,10.0,4.5,2
0.9,33.0,953.1,24.9,17.5,21.1108,119.9414,10.0,5.2,2
-3.8,33.0,1001.5,60.7,10.8,30.6514,140.162,10.0,5.3,2
27.9,95.0,991.5,22.1,5.5,52.2414,160.5389,10.0,4.4,2
23.0,30.0,1017.7,79.2,16.9,54.4772,-160.1113,41.623,3.7,2
16.3,69.0,1000.5,55.9,2.2,-30.2789,-67.4757,27.888,4.9,2
11.1,95.0,962.4,17.7,8.7,22.9887,-109.6191,10.0,4.8,2
27.6,75.0,970.3,42.8,11.3,51.2935,160.7032,10.0,4.2,2
14.6,44.0,1014.4,53.0,18.1,33.119,-39.58,10.0,4.6,2
31.5,20.0,1031.0,72.5,7.7,33.1158,141.9006,10.0,4.3,2
-2.4,97.0,957.8,1.0,9.2,52.062,159.6171,35.0,5.0,1
18.3,77.0,1007.6,13.3,9.0,30.6605,142.7651,10.0,4.4,2
11.5,40.0,950.1,32.7,11.5,54.5665,-160.0511,32.632,5.1,2
27.6,87.0,1039.5,97.5,10.9,52.2145,-170.1127,34.728,4.2,2
15.8,69.0,952.1,3.4,9.3,50.2744,159.5324,10.0,4.2,2
4.9,51.0,997.9,26.4,1.7,-20.8705,-178.6275,600.489,4.1,1
28.4,77.0,970.0,23.4,0.1,50.4242,159.7308,10.0,4.4,2
28.1,85.0,1012.2,69.0,19.2,54.4675,-160.123,35.0,3.7,2
-4.7,91.0,991.9,28.7,0.6,52.353,160.5247,23.721,4.5,1
27.6,66.0,1022.4,89.3,13.5,41.2573,-116.7306,4.2,4.0,2
19.7,92.0,1018.8,14.4,13.7,12.9896,145.4727,10.0,5.2,2
1.3,73.0,1038.7,10.1,1.5,-20.0717,-69.273,92.922,4.1,2
34.9,63.0,1028.6,69.0,13.9,-16.8565,-173.4989,39.87,4.3,2
34.1,71.0,1018.6,61.7,9.4,50.5079,158.2301,10.0,4.8,2
4.4,42.0,962.5,69.7,16.4,48.5461,157.5499,10.0,4.6,2
5.4,46.0,1004.6,58.1,8.7,18.8908333333333,-66.7513333333333,15.52,3.21,2
7.9,20.0,1013.6,74.4,2.4,54.4917,-160.0953,35.0,3.3,2
29.7,79.0,1045.2,0.1,19.7,19.0068333333333,-67.1266666666667,12.19,3.23,2
39.1,36.0,964.2,59.2,13.6,-3.5148,140.67,35.0,4.7,2
27.6,69.0,1011.7,89.6,0.3,-26.1553,-69.1344,100.155,4.2,2
9.7,84.0,1000.2,1.4,1.0,50.3629,158.1968,10.0,4.4,2
13.0,56.0,1012.6,8.3,16.8,51.6612,159.6614,22.799,5.0,2
38.6,56.0,957.6,55.9,13.0,52.7195,159.8134,65.761,4.7,2
-4.9,93.0,961.1,89.0,2.6,49.9828,158.2756,10.0,5.0,2
10.7,44.0,954.6,52.2,2.9,50.7671,157.9673,33.271,4.3,2
5.5,27.0,977.4,48.2,5.9,51.9003,160.574,33.637,4.3,1
-1.1,93.0,1048.5,89.9,18.5,3.2111,-31.4124,10.0,4.5,2
5.9,64.0,1007.8,10.0,17.9,34.6626,70.7106,10.9,5.2,2
31.0,71.0,974.0,2.6,16.9,52.8834,160.4775,10.0,4.2,2
8.8,66.0,1018.1,30.1,15.6,13.9163,144.6209,182.232,3.8,2
6.5,30.0,1028.7,4.2,11.1,51.2586,158.1456,49.062,4.1,2
-4.1,53.0,952.0,3.5,0.3,18.8546,-68.3591,56.0,3.93,0
32.3,74.0,1031.3,61.0,4.0,51.4551,159.0953,35.865,4.7,2
8.8,25.0,1040.2,6.5,18.6,-3.5845,-79.8973,59.178,4.4,2
37.3,45.0,981.8,54.3,8.3,54.4102,-159.8506,35.122,3.6,2
5.8,89.0,1026.3,91.5,18.9,-57.9903,157.741,10.0,4.5,2
29.5,33.0,1046.8,24.9,7.6,51.7178,158.1362,75.248,4.2,1
13.8,58.0,994.3,16.5,17.2,52.5231,160.056,60.468,4.4,2
32.0,70.0,1022.9,92.5,5.0,54.5692,-160.1228,40.25,4.7,2
14.0,44.0,961.8,38.5,18.3,54.6417,-160.0755,35.0,3.0,2
10.7,25.0,978.1,3.0,19.4,54.4137,-160.2245,38.451,3.7,2
12.9,82.0,1039.9,34.3,0.1,52.3429,160.6467,10.0,4.4,2
-2.9,47.0,998.4,41.5,14.7,52.6482,159.2248,82.022,4.6,2
9.2,25.0,967.0,58.5,9.3,19.4991,-64.4155,35.0,3.69,0
5.8,39.0,952.2,65.6,9.4,52.031,160.4215,10.0,4.3,2
32.8,41.0,986.0,45.9,7.2,52.5972,161.0003,35.0,4.1,1
19.0,31.0,1032.7,77.4,9.9,29.6596,129.7262,10.0,4.5,2
7.3,53.0,1006.9,44.9,15.3,52.4811,160.8098,10.0,4.3,2
27.8,70.0,992.5,45.8,4.8,13.1253,144.6479,64.001,4.8,1
-2.7,81.0,1008.1,78.8,0.6,-23.8735,-179.9338,530.336,4.2,2
26.3,95.0,994.7,64.4,11.8,52.2812,159.8921,35.0,4.7,2
24.3,51.0,1006.4,96.5,8.5,52.5535,160.6703,10.0,4.8,2
20.9,25.0,954.9,84.6,0.1,26.3752,124.7013,10.0,4.3,2
25.2,92.0,980.0,52.5,4.4,52.3091,160.0054,35.0,4.2,2
25.5,67.0,1029.2,76.4,6.2,51.4736,158.4131,48.203,4.3,2
-2.1,91.0,1005.0,87.0,6.0,52.7644,160.489,35.0,4.1,2
10.3,97.0,963.0,43.2,1.2,52.7177,-34.7979,10.0,4.3,2
-1.4,25.0,995.8,3.2,13.8,9.3716,93.9749,10.0,5.1,2
10.2,27.0,973.4,63.1,14.2,50.2483,159.6183,10.0,4.4,2
38.6,30.0,999.9,51.7,16.9,30.9478,143.014,10.0,4.5,2
17.2,21.0,981.1,59.7,18.3,50.8759,158.5559,35.0,4.2,2
26.9,29.0,984.6,35.8,12.8,18.5795,-68.8245,116.0,3.92,2
3.9,57.0,1029.7,47.6,4.0,52.9218,160.7749,10.0,4.5,2
29.6,39.0,1026.0,6.3,16.0,31.4932,-115.5551,10.0,4.2,2
19.9,88.0,953.4,93.9,11.0,52.2514,157.9536,98.201,4.5,2
15.7,99.0,972.9,9.5,3.5,-18.3391,167.6771,10.0,4.9,2
28.9,74.0,1045.0,85.7,15.0,-26.8743,-71.1399,24.21,4.8,2
18.2,31.0,958.7,58.8,1.4,36.8648,21.7258,10.0,4.8,2
29.1,59.0,988.2,97.9,10.2,30.6344,140.1712,10.0,5.3,2
36.0,36.0,1009.7,44.2,12.4,52.5234,160.7272,10.0,4.7,2
33.0,32.0,1042.3,10.6,19.0,-37.7905,50.0346,10.0,4.4,2
3.0,23.0,1029.8,29.2,5.9,48.6113,157.4971,10.0,4.4,2
16.0,84.0,1047.9,61.9,17.7,49.2988,156.5191,10.0,5.7,2
38.2,98.0,1050.0,33.6,14.1,52.701,161.0674,17.418,4.9,2
38.6,79.0,970.2,20.2,11.1,17.9323,-66.9168,9.0,3.55,2
26.8,33.0,965.3,95.4,9.6,51.5168,159.8108,35.0,4.3,2
38.4,33.0,992.4,1.4,16.0,52.2962,160.7368,10.0,5.1,2
29.4,43.0,1034.8,15.9,15.1,31.663,-104.379,5.1257,3.3,2
26.6,91.0,972.0,80.8,3.2,18.8243,-67.2471,10.0,4.3,2
9.0,99.0,973.7,67.8,2.3,53.0606,161.3161,10.0,4.3,2
9.5,38.0,1046.2,42.0,9.9,-3.5108,101.305,43.266,4.3,1
-1.9,47.0,1013.3,58.4,14.3,7.6469,127.1659,10.0,4.8,2
0.2,57.0,1048.7,7.7,0.9,52.1139,160.0397,56.345,5.1,2
32.2,65.0,974.8,77.3,17.8,-24.2082,-66.9797,175.427,4.3,2
35.9,23.0,972.1,2.2,17.0,29.509,130.4384,35.0,4.2,2
-1.6,43.0,969.5,23.7,14.8,50.5746,157.7638,10.0,4.9,2
24.0,63.0,1000.6,6.4,10.4,-24.5207,-67.5714,178.807,4.2,2
-1.5,54.0,964.9,66.0,12.4,19.7323,-64.1523,49.0,3.94,2
-0.6,98.0,1041.1,78.2,4.7,49.3293,156.6348,35.0,5.6,2
37.2,87.0,978.3,87.8,17.7,19.0005,-63.7893,81.0,3.81,2
9.8,77.0,975.5,73.6,0.3,52.2504,160.3168,10.0,5.2,2
-3.8,78.0,981.4,75.7,15.4,36.7398,71.1247,241.348,4.0,2
36.2,21.0,999.4,83.2,7.0,34.469,139.3952,10.0,4.7,2
27.0,71.0,1020.2,34.1,15.0,50.8282,160.0911,10.0,4.3,2
5.6,52.0,965.0,96.8,3.7,52.6672,160.2282,22.732,4.6,2
19.5,44.0,968.8,76.6,7.3,39.0891,21.9981,12.72,4.3,2
24.3,46.0,999.5,17.8,9.4,52.8415,161.0175,10.0,5.6,2
9.7,29.0,1008.7,59.9,10.9,-29.9747,-178.8097,222.473,5.3,2
2.6,51.0,953.1,99.1,18.5,52.8321,161.3073,32.337,4.5,2
22.9,87.0,991.5,80.6,11.3,54.4629,-159.9359,32.384,3.6,2
34.4,67.0,1033.1,51.7,14.3,-7.1135,129.2625,150.337,4.3,2
21.2,29.0,1037.5,20.9,12.9,51.6515,159.3701,10.0,4.9,2
35.1,77.0,1044.9,11.1,17.7,54.5475,-159.8597,35.0,3.2,2
2.9,67.0,992.8,16.2,17.3,54.4223,-160.0319,35.0,3.1,2
20.6,79.0,1029.9,52.5,17.5,54.4914,-159.9275,33.993,3.0,2
19.4,72.0,987.9,38.8,1.2,31.9638,131.9294,38.654,4.4,1
30.7,99.0,957.5,34.2,10.7,51.1875,159.7868,10.0,4.4,2
31.6,58.0,1009.5,84.2,2.9,54.592,-159.9344,21.537,3.0,2
37.8,66.0,983.8,92.3,1.2,27.1252,140.1384,478.222,4.3,2
10.1,28.0,1034.5,30.7,12.5,49.9466,157.0641,10.0,4.2,2
10.1,24.0,1032.6,38.2,13.4,49.7593,157.2811,10.0,4.4,2
8.9,42.0,1007.1,49.0,6.1,53.282,160.9343,35.0,4.1,1
1.7,44.0,987.7,5.6,7.7,8.2601,-102.9954,10.0,5.2,2
14.7,22.0,990.3,34.3,9.7,63.4082,-144.9487,8.9,3.0,1
17.9,24.0,1016.1,14.9,6.6,27.3659,52.528,10.0,4.2,2
39.8,52.0,1025.0,68.0,4.6,48.7535,156.3324,10.504,4.5,2
36.8,34.0,982.8,39.9,12.2,52.2469,160.4026,33.178,4.1,2
38.1,62.0,952.4,39.5,16.2,50.9774,158.4049,35.0,4.8,2
17.8,46.0,1018.9,39.7,2.4,54.5347,-160.4239,35.0,3.4,1
1.8,37.0,960.1,12.2,3.7,52.8552,159.6834,58.048,4.3,2
18.8,25.0,951.8,22.0,12.6,-3.0032,147.4676,10.0,5.2,2
38.2,85.0,958.1,92.7,5.9,18.0003333333333,-68.7546666666667,81.32,3.42,2
0.9,38.0,1012.4,62.4,18.0,53.1494,160.6917,10.0,4.7,2
31.2,98.0,1045.5,20.9,16.0,-7.6841,-74.7589,153.529,4.5,2
-2.2,94.0,978.0,71.1,6.2,-0.0936,123.2974,146.886,4.4,2
20.7,78.0,951.4,9.1,15.3,52.9016,159.6319,55.831,4.2,2
29.5,34.0,985.1,77.0,17.7,-24.1169,179.1512,545.062,4.7,2
-3.0,67.0,950.7,27.1,16.1,54.4964,-159.8493,36.422,3.9,2
3.6,65.0,985.2,85.1,1.0,51.7976,160.2803,10.0,4.4,2
35.2,49.0,950.0,65.8,12.1,-32.1142,-70.0243,116.655,4.2,2
14.3,96.0,962.8,53.5,3.3,50.767,158.5127,37.511,4.1,2
1.5,48.0,1008.4,51.2,8.0,51.3875,158.8191,10.0,5.0,2
15.6,37.0,987.8,8.8,9.2,41.1931,-116.7005,8.2,3.5,1
32.6,88.0,997.6,98.1,18.3,51.1923,159.1619,6.043,5.0,2
16.1,65.0,1021.1,96.7,2.1,4.229,62.6737,10.0,4.9,2
34.0,79.0,1004.6,73.6,6.0,52.8644,160.3704,35.0,4.3,2
14.1,98.0,1006.8,79.9,1.1,14.0755,-89.8354,10.0,4.4,2
5.5,43.0,988.0,46.3,14.7,36.739,54.7048,10.0,4.6,2
33.0,42.0,1014.3,35.5,6.0,-15.9183,-75.6033,10.0,4.5,2
18.4,51.0,1016.7,74.3,5.4,-0.3955,131.5362,10.0,5.6,2
14.4,67.0,962.2,44.8,9.3,-26.8262,-71.0132,22.223,4.7,1
21.7,45.0,956.1,6.5,7.5,49.1665,156.2778,31.914,4.5,1
6.4,96.0,972.7,5.3,15.2,51.9883,160.3935,10.0,4.3,2
9.7,82.0,973.4,2.9,0.1,26.5812,93.2884,10.0,4.2,2
14.5,57.0,999.9,39.3,3.2,49.036,157.5404,10.0,4.3,2
26.1,77.0,988.9,65.4,15.2,-21.7046,-179.4062,605.074,4.5,2
1.4,29.0,1033.9,77.1,5.6,37.2673,71.2305,101.725,4.4,2
6.7,24.0,952.7,73.1,4.9,18.4616,-69.1676,150.053,3.4,2
29.4,49.0,980.6,0.1,17.8,51.121,158.7069,35.0,4.7,2
12.8,75.0,995.0,19.0,11.2,50.0326,158.8601,10.0,4.4,2
16.5,32.0,1023.0,69.9,19.6,49.5336,155.2825,85.549,4.1,2
10.2,41.0,1012.5,99.4,15.8,49.7861,155.8326,74.104,4.1,2
23.5,74.0,996.8,74.4,15.5,52.2794,160.2634,35.0,4.3,2
36.4,91.0,955.8,18.0,2.4,24.0592,125.9035,10.0,5.1,2
25.8,68.0,1006.8,84.2,8.3,21.5117,97.2973,10.0,4.4,2
32.5,44.0,987.2,49.4,7.0,-22.7269,-68.3365,111.872,4.2,1
19.8,72.0,1015.8,86.6,12.9,33.2677,73.2789,10.0,4.9,2
33.6,61.0,976.0,28.4,4.5,39.9357,113.5049,10.0,4.3,2
3.5,64.0,1021.8,99.5,13.8,48.5608,157.3583,10.0,4.5,2
37.9,29.0,978.9,87.8,1.3,-9.7869,120.4698,85.956,4.9,2
33.4,72.0,1010.0,8.5,14.8,52.3501,160.4936,36.263,4.7,1
33.8,43.0,966.0,9.7,5.5,51.332,159.1397,35.0,4.4,1
1.8,85.0,1032.9,70.6,0.3,54.6665,-158.253,10.0,3.0,2
31.6,62.0,965.3,82.0,16.1,18.9908,-65.332,37.0,3.52,2
31.1,94.0,963.5,76.4,5.6,3.4403,126.5724,52.284,4.1,2
34.0,41.0,1034.3,21.0,18.2,50.865,158.7768,34.156,4.6,2
11.8,45.0,953.5,58.8,1.8,49.2208,157.8044,10.0,5.2,2
7.5,22.0,1025.8,73.6,10.2,29.277,129.5242,10.0,4.3,2
20.5,40.0,996.5,16.0,11.7,51.2863,159.087,35.0,4.3,2
37.3,42.0,1018.4,91.4,3.0,-6.5676,148.9066,66.477,4.3,2
19.1,42.0,1044.3,64.6,9.8,-57.8131,157.7777,10.0,4.2,2
14.6,71.0,1013.0,62.8,14.1,51.7781,159.7399,35.0,4.7,2
34.5,97.0,1031.0,63.0,5.7,14.0402,-89.8189,10.0,4.4,2
37.8,57.0,986.5,40.9,8.0,18.3958333333333,-67.2628333333333,13.94,3.22,1
8.7,47.0,1016.8,12.1,16.8,13.3065,-92.547,10.0,4.4,2
-2.9,80.0,1004.5,58.3,12.5,61.9025,-150.9139,6.9,3.0,2
13.7,80.0,1001.5,69.6,7.5,29.3269,129.444,10.0,4.8,2
-2.8,42.0,1028.8,50.6,18.1,-7.278,129.392,141.502,4.4,1
23.7,49.0,984.2,94.1,13.1,54.4889,-160.0605,35.0,3.1,2
6.3,60.0,1033.0,40.6,1.7,54.4947,-159.6986,26.236,3.0,1
39.0,24.0,1044.3,30.4,15.7,1.7921,127.4166,133.797,4.1,2
29.0,33.0,1041.0,65.8,12.8,52.4082,160.9779,10.0,4.7,2
-2.7,99.0,951.9,37.1,8.4,52.5046,160.5912,37.794,5.2,1
15.6,22.0,1038.9,64.7,5.2,51.6779,160.0257,10.0,4.4,2
23.6,93.0,1002.3,24.0,13.3,-56.3242,-25.8462,10.0,4.4,2
1.9,27.0,988.3,90.2,6.9,-20.0941,-69.0459,110.96,4.2,2
7.0,85.0,1013.7,71.6,6.2,-16.0423,-173.3821,10.0,4.8,2
1.8,47.0,1038.7,71.3,11.5,61.6101,-141.0703,2.5,3.5,2
36.5,63.0,1002.9,35.9,8.2,52.2317,160.1337,35.0,4.2,1
15.8,94.0,1047.2,48.2,10.1,52.6221,161.0414,10.0,4.8,2
10.1,27.0,962.9,69.7,17.5,52.6349,160.2711,41.188,4.0,2
16.4,52.0,1021.0,39.6,7.8,29.4902,129.073,10.0,4.5,2
33.0,31.0,1033.8,91.1,19.7,52.7678,159.9575,51.899,4.1,2
35.9,23.0,1006.7,57.5,6.3,-8.9052,124.2489,103.092,4.6,2
11.2,75.0,1004.4,67.7,17.3,-60.2038,-62.0055,10.0,5.0,2
21.4,45.0,1003.7,79.2,12.7,52.5351,159.2508,57.268,5.3,2
25.7,32.0,983.3,5.5,18.6,50.244,158.6693,10.0,4.5,2
7.4,32.0,952.4,59.3,1.5,52.0848,160.4567,10.0,4.9,2
18.9,80.0,982.4,15.3,9.1,36.5653,70.7257,154.345,4.4,1
7.4,84.0,1021.0,7.2,7.0,32.0204,131.7755,26.743,5.6,2
0.2,23.0,1007.7,34.7,4.6,49.1492,156.2055,35.0,4.4,2
6.3,53.0,1027.2,18.2,14.6,49.7989,156.4616,36.975,5.4,2
13.0,95.0,950.2,67.7,17.4,54.5352,-159.8974,29.145,3.4,2
-4.0,25.0,982.2,42.7,2.6,-6.6449,129.9538,138.814,4.0,1
21.5,79.0,973.5,43.4,3.7,34.6749,70.6807,10.0,5.2,2
11.9,83.0,994.3,94.5,3.6,18.1596666666667,-67.8055,60.5,3.43,2
7.0,93.0,1047.2,68.4,19.5,18.5916,-64.8988,100.0,3.63,1
27.4,44.0,985.3,66.2,2.7,44.368,147.4856,108.046,4.2,2
5.1,90.0,950.7,1.7,5.5,49.8278,157.4403,10.0,5.3,2
25.1,28.0,982.2,75.5,7.6,-10.6787,110.1796,10.0,4.2,2
36.9,95.0,975.1,2.1,12.4,1.0484,127.0165,42.602,4.9,2
20.0,38.0,1014.5,43.9,17.2,52.1293,160.4161,10.0,4.5,2
11.7,91.0,1041.7,42.3,11.2,38.3686,142.1629,44.41,5.5,2
1.6,84.0,965.7,48.6,9.8,-14.8999,66.9493,10.0,4.2,2
24.4,45.0,1019.4,13.8,3.1,-57.9045,157.8263,33.218,5.4,1
8.7,100.0,990.9,38.1,17.1,51.2679,179.5187,49.643,5.0,2
-0.4,69.0,982.2,19.7,12.0,51.3626,160.3989,10.0,4.0,2
3.3,52.0,972.3,96.7,12.9,-8.5233,118.3239,133.058,5.0,2
29.5,35.0,1029.6,47.0,11.3,51.461,159.7026,10.0,4.5,2
15.4,99.0,995.3,74.0,14.9,51.5051,161.1757,10.0,4.1,2
18.6,83.0,1030.9,27.1,14.6,50.3244,159.005,10.0,4.1,2
39.1,77.0,974.2,81.9,19.2,52.263,160.126,32.103,4.4,2
25.7,37.0,990.2,91.6,10.6,-18.0373,-178.4419,584.462,4.3,2
9.9,56.0,982.3,69.0,19.5,54.5585,-159.7533,40.785,4.8,2
24.2,97.0,955.2,84.5,8.1,-7.0505,124.9054,554.175,4.4,2
25.6,68.0,990.0,61.4,16.5,52.8952,160.5992,28.802,4.0,2
13.6,90.0,950.1,48.1,14.8,34.148,-117.4143333,5.26,4.34,2
38.3,61.0,1033.0,96.5,3.9,-23.5094,178.9624,550.0,5.8,2
29.0,45.0,1021.6,53.7,12.2,51.3001,-177.3417,25.6,3.6,2
17.2,46.0,1022.6,33.0,11.8,51.5778,160.4079,10.0,4.2,2
13.0,38.0,1044.5,90.9,3.2,51.754,159.4027,35.0,4.7,2
10.1,64.0,1029.1,8.2,10.2,53.6721,161.1412,34.701,4.6,2
1.8,76.0,957.0,27.3,15.7,54.6146,-160.4023,35.0,3.8,2
28.8,35.0,987.7,58.2,17.9,54.6324,-159.8262,35.0,3.4,2
9.9,54.0,951.0,0.9,5.1,52.8847,160.7586,10.0,5.3,2
3.3,44.0,1031.8,49.5,6.8,-2.138,139.2736,41.219,4.6,1
18.3,74.0,966.0,15.1,5.4,54.5389,-159.8307,31.05,3.1,1
9.7,62.0,962.6,99.9,0.0,50.0206,159.3567,10.0,4.4,2
33.2,80.0,985.3,12.0,5.7,50.4445,156.3231,83.056,4.5,1
24.0,52.0,1033.7,66.9,0.5,2.1086,128.5542,41.783,4.7,2
-3.3,20.0,972.4,40.5,14.1,-14.936,167.2226,126.579,4.6,2
33.0,28.0,995.1,27.1,17.5,-24.4007,179.9572,515.99,4.4,2
