temp_c,humidity,pressure_mb,wind_kph,precip_mm,label
22.0,66,968.0,12.7,16.0,2
27.0,90,1009.3,29.6,19.9,2
35.9,71,1045.3,18.4,13.7,2
39.4,68,1018.8,4.7,5.0,0
19.5,76,1045.3,25.7,16.5,2
17.5,34,965.8,23.5,18.9,2
5.8,39,952.2,65.6,9.4,2
5.5,100,958.2,29.8,5.7,2
1.0,61,984.1,70.6,8.3,2
-2.2,79,980.7,2.2,7.5,1
-3.2,90,978.6,39.6,12.3,2
21.6,33,1001.4,80.4,12.8,2
-1.6,26,959.0,39.3,12.0,2
-3.3,51,1008.2,85.6,6.7,2
-0.9,59,1015.5,54.2,6.4,2
10.7,35,954.0,26.6,16.1,2
20.6,72,957.2,77.6,11.5,2
-3.3,80,969.4,8.2,14.0,2
20.0,94,1045.4,56.8,4.6,2
17.3,40,956.3,93.3,2.1,2
-3.9,81,967.5,10.6,0.2,0
13.3,57,961.4,36.8,17.3,2
6.1,91,1000.6,15.5,12.8,2
0.6,85,1035.7,81.1,13.4,2
14.9,34,1049.9,96.6,11.1,2
14.7,49,1010.4,36.6,18.2,2
35.7,52,986.9,86.9,20.0,2
22.2,84,981.3,66.5,17.9,2
-5.0,76,973.6,79.4,1.6,2
32.7,90,1049.6,63.7,10.5,2
21.1,54,958.6,64.9,4.8,2
6.9,58,964.2,51.8,18.4,2
9.8,61,1022.0,63.9,10.6,0
12.0,37,983.4,17.9,5.8,1
-5.0,21,951.2,53.0,3.3,2
20.0,79,993.5,38.1,11.2,2
12.8,67,1017.2,86.6,3.4,2
0.4,49,953.8,30.6,18.2,2
19.0,92,1005.1,73.0,9.0,2
38.4,51,979.9,31.8,13.0,2
23.6,64,1015.4,47.1,9.0,1
24.0,41,1024.4,65.6,19.2,2
-0.6,82,976.4,22.3,9.6,1
12.0,84,1030.1,2.0,16.3,2
14.2,44,1047.5,23.3,3.9,2
26.7,36,1002.9,0.1,10.1,2
32.3,50,1022.5,21.5,5.9,1
7.3,83,953.4,93.3,1.9,2
33.3,33,1012.7,45.8,1.7,0
38.4,80,952.8,29.6,2.4,0
4.5,75,1025.5,37.6,18.4,2
32.2,51,1019.9,27.7,8.2,1
18.3,86,1005.2,98.6,7.8,2
21.4,69,1029.1,2.6,17.0,2
25.5,100,1006.7,45.4,17.9,2
31.4,84,967.9,52.6,13.1,2
30.2,54,1034.2,31.8,6.4,1
24.1,49,990.6,96.3,1.4,2
-1.9,67,1018.4,39.5,0.8,1
12.7,70,968.6,45.9,8.0,0
8.7,21,966.6,24.0,9.3,1
1.5,38,950.0,27.8,17.1,2
27.0,50,1000.9,77.3,0.3,2
21.1,75,1000.8,76.9,1.7,2
39.1,70,1005.8,78.0,8.2,2
17.3,51,1028.0,23.8,18.6,2
33.2,40,987.7,93.2,0.7,2
-3.2,53,1014.3,64.7,17.8,2
22.9,37,1015.1,73.6,7.3,2
14.6,38,997.8,42.7,7.0,1
29.4,43,991.5,49.1,13.4,2
10.1,59,961.2,77.5,18.8,2
25.6,51,1047.0,66.0,17.1,2
-1.6,62,971.3,68.8,4.2,2
26.3,64,1047.7,14.3,8.2,2
19.4,81,1022.5,12.6,17.7,2
14.7,21,985.9,57.6,10.6,2
19.1,82,950.9,69.8,9.6,2
23.4,75,988.9,60.7,13.7,2
27.8,31,1038.0,10.6,7.2,1
-4.8,60,1003.0,88.5,7.0,1
9.4,32,997.2,85.6,8.1,2
22.8,72,959.4,17.1,8.2,1
14.5,61,1027.4,62.6,13.0,2
21.8,23,984.5,95.2,14.5,2
-3.0,77,1049.4,68.5,1.9,2
16.7,39,1033.0,75.5,5.0,2
-1.4,57,1000.5,46.8,5.1,1
15.9,56,985.1,51.9,8.3,2
32.3,31,960.8,24.9,14.6,2
-0.5,73,992.3,83.2,0.5,2
14.1,67,1044.6,99.8,5.7,2
27.5,70,1012.2,1.8,9.6,1
0.7,68,1014.6,89.9,12.4,2
12.9,24,1005.4,61.4,6.0,1
7.0,69,1003.5,40.4,9.0,1
31.2,32,973.0,8.1,19.9,2
17.8,25,968.0,19.9,13.7,2
5.2,45,984.1,70.8,19.2,2
30.3,48,980.5,73.6,4.3,2
17.1,46,1001.5,9.9,7.4,1
33.7,64,957.8,61.0,6.1,2
12.0,66,964.7,39.3,10.6,2
-4.1,51,978.5,86.8,1.8,2
38.6,28,963.6,8.8,13.4,2
1.1,56,1007.4,4.3,12.4,2
0.3,36,961.7,40.9,18.4,2
39.7,79,1000.6,81.1,10.5,2
18.8,71,957.9,1.1,9.9,1
38.8,39,1003.5,61.6,3.5,2
-1.8,53,1047.1,20.3,7.6,1
21.2,21,1017.5,20.5,5.7,1
19.4,42,960.5,83.7,0.4,2
37.5,48,1026.3,63.8,2.2,2
15.6,81,996.9,86.2,19.8,2
17.8,92,1002.4,97.9,11.7,2
-4.4,92,1021.1,17.9,13.6,2
26.4,87,1009.5,1.3,8.3,2
20.8,58,967.5,54.2,18.7,2
-4.5,63,1034.2,75.5,13.6,2
1.4,67,1047.8,84.5,6.5,2
1.5,65,1015.0,72.1,16.5,2
3.0,28,1010.4,21.2,1.9,0
33.6,58,955.4,79.7,16.0,2
35.6,32,957.3,80.4,14.9,2
-0.3,27,1020.3,14.8,6.6,1
37.5,69,973.3,71.5,10.6,2
33.6,58,980.0,87.9,8.3,2
9.1,24,1004.1,61.0,11.7,2
37.0,77,1004.5,48.0,10.0,1
-0.9,99,1041.7,43.6,14.9,2
36.3,61,1048.2,31.7,5.4,1
-2.9,96,1001.7,30.0,7.7,1
13.5,62,1000.1,24.5,0.7,0
0.2,24,968.6,9.0,2.8,2
19.5,73,981.6,6.0,10.7,2
31.6,22,1011.5,53.5,17.0,2
2.1,53,1040.0,44.6,0.3,1
11.8,54,983.5,81.5,5.8,2
8.5,40,1003.5,26.5,14.9,2
12.1,60,1017.2,65.3,19.3,2
5.9,74,1032.7,24.5,1.3,0
10.1,29,1031.5,22.6,10.5,2
6.0,27,1007.0,78.2,2.9,2
24.5,97,1003.4,12.9,16.6,2
0.6,45,1031.5,43.2,10.6,2
30.7,99,957.5,34.2,10.7,0
36.0,73,952.9,8.8,10.8,2
13.2,88,1026.2,65.9,11.3,2
17.5,72,990.7,38.6,9.4,1
0.8,41,1002.3,93.1,8.4,2
33.8,87,1024.1,32.2,0.9,1
-4.1,36,955.4,71.2,3.6,2
27.5,70,1034.2,40.4,9.4,1
14.1,37,994.9,89.0,4.8,2
39.9,77,1016.8,1.9,13.2,2
6.8,51,1041.9,30.6,9.1,2
17.9,62,988.5,17.6,12.6,2
33.6,46,1042.2,24.8,10.2,2
7.4,85,954.0,74.9,0.5,2
32.9,94,987.9,56.4,15.3,2
12.7,57,957.6,22.3,4.0,0
7.7,40,1010.1,74.4,9.9,2
30.5,79,1004.1,98.9,11.3,2
19.1,79,967.4,66.1,13.3,2
23.7,64,984.6,20.8,6.4,1
19.9,52,977.7,94.0,18.0,2
16.4,81,957.5,99.3,19.1,2
20.6,97,959.2,61.7,10.9,2
22.0,96,1013.4,51.9,14.2,2
36.8,95,979.1,32.5,8.7,1
36.1,89,969.4,23.0,2.2,1
2.9,91,1047.8,89.9,1.1,2
13.1,74,1001.0,30.2,2.1,1
21.4,45,964.2,44.3,18.2,2
33.9,43,1031.6,94.2,14.1,2
29.2,69,1035.9,61.6,10.1,2
-1.7,57,997.8,32.3,10.1,2
29.3,42,987.5,37.3,14.6,2
37.9,59,1014.7,59.6,1.1,2
6.9,49,989.3,27.5,15.9,2
10.5,38,997.8,16.1,10.6,2
16.4,86,1013.2,67.7,8.8,2
1.3,86,994.9,79.6,12.3,2
18.2,50,954.4,46.1,2.7,1
34.0,27,986.7,97.9,16.8,2
32.6,78,1023.7,25.5,3.7,0
31.9,68,1007.2,50.1,0.3,2
35.1,68,972.4,36.7,10.3,2
30.8,38,1037.6,82.2,1.3,2
25.4,36,1017.8,3.0,18.9,2
9.0,99,973.7,67.8,2.3,2
3.7,43,972.1,10.6,6.7,1
36.0,99,988.9,13.6,5.9,1
23.7,92,988.0,70.8,12.1,2
16.7,65,1014.0,8.5,1.3,0
27.5,49,1036.3,20.4,19.3,2
18.1,22,1038.5,47.7,16.2,2
14.7,22,990.3,34.3,9.7,1
3.8,26,951.0,27.9,1.8,0
16.0,29,1040.8,46.1,14.8,2
30.7,93,1037.5,93.5,19.2,2
16.7,98,992.2,5.6,2.0,1
35.9,77,1041.5,38.3,10.7,2
17.1,34,983.1,91.7,13.8,2
9.9,87,964.8,9.7,15.2,2
11.3,48,957.5,7.9,9.6,1
11.2,40,997.6,39.9,16.8,2
30.6,20,1037.5,33.5,6.4,1
22.0,47,990.0,78.2,8.1,2
-4.8,100,999.0,32.1,12.3,2
7.1,38,971.9,99.1,2.8,2
11.1,95,977.2,26.3,4.8,1
23.0,83,1031.9,14.5,7.1,1
-2.2,95,963.1,82.0,15.1,2
2.5,43,968.1,46.3,18.0,2
19.6,64,1043.8,37.8,1.0,1
24.7,70,961.6,88.4,12.0,2
35.1,74,987.3,29.6,3.2,0
-3.8,34,975.5,14.9,6.4,1
8.0,75,963.2,53.2,5.7,2
5.5,76,954.2,2.3,4.8,0
12.7,22,1004.6,15.1,14.0,2
18.7,97,961.4,94.3,13.5,2
23.3,89,997.7,19.7,12.9,2
17.2,69,1028.8,59.8,11.2,2
2.2,27,967.6,71.3,18.8,2
7.6,39,971.7,8.8,19.3,2
10.5,60,1000.3,18.6,10.4,2
2.5,85,1027.8,53.5,10.2,2
14.1,77,1029.0,52.0,15.8,2
0.8,58,1017.9,90.8,15.1,2
7.7,77,1038.9,85.5,12.9,2
4.8,34,1008.5,48.8,4.4,1
9.4,63,954.6,93.9,3.0,2
14.8,80,1026.0,44.6,5.9,1
2.9,55,974.8,98.6,11.1,2
38.4,98,969.3,90.0,13.5,2
18.6,21,995.6,45.3,12.0,2
29.0,51,1022.1,1.3,0.2,0
-2.2,29,1031.9,94.2,3.4,2
22.4,91,994.0,97.4,9.4,2
18.4,54,1007.9,35.7,12.3,2
17.9,80,1011.7,18.4,9.6,1
9.4,99,967.6,80.3,13.8,2
16.2,73,968.9,45.5,16.9,2
3.9,28,1005.5,29.7,7.3,1
26.6,91,972.0,80.8,3.2,2
-4.8,43,950.7,98.0,7.3,2
35.9,96,1043.7,53.3,0.0,2
31.0,87,966.2,5.3,12.0,2
-3.0,46,1026.0,88.0,7.5,2
0.8,69,1047.4,11.9,15.5,2
12.9,77,979.5,15.2,17.4,2
26.1,32,972.7,7.2,6.5,1
33.3,58,1030.3,72.8,4.0,2
-2.4,51,996.9,36.8,19.7,2
5.4,80,968.1,45.6,18.4,2
13.4,95,972.6,37.1,9.2,1
31.0,36,1023.4,24.4,4.7,0
10.7,83,981.3,95.0,8.7,2
26.4,86,1033.0,25.6,1.3,1
37.9,26,970.4,75.9,19.2,2
12.2,83,1021.3,32.7,3.4,1
0.5,86,1023.8,26.5,12.9,2
17.8,40,1043.9,93.6,17.3,2
-1.1,64,965.9,40.3,18.3,2
10.0,80,1023.7,20.2,14.6,2
35.0,67,1046.3,31.2,7.1,1
10.8,67,994.2,12.1,10.4,2
24.0,84,1049.3,45.3,0.1,1
18.7,96,987.1,60.5,18.9,2
-4.0,31,1001.4,68.0,16.8,2
25.6,86,1039.9,53.1,6.9,2
27.9,58,967.2,20.3,10.8,2
21.6,50,959.7,11.1,10.0,1
37.0,57,988.5,85.8,9.3,2
17.8,55,956.4,1.7,9.8,1
0.8,99,961.4,91.4,9.8,2
7.8,86,952.2,54.0,8.6,2
30.7,37,995.4,42.2,14.2,2
23.1,85,1046.8,23.0,2.9,0
23.8,60,956.6,28.7,8.9,1
34.2,79,999.8,75.2,10.2,2
27.0,27,999.5,84.8,20.0,2
20.3,40,995.5,71.3,4.1,2
-1.6,82,976.9,53.4,6.8,2
1.2,34,974.6,78.2,10.5,2
0.8,72,975.3,75.0,8.0,2
24.2,59,1001.2,89.6,9.3,2
9.8,70,960.2,34.3,2.4,1
2.3,41,1000.9,51.0,14.3,2
36.1,67,1011.9,96.5,19.9,2
26.3,37,973.5,7.9,13.4,2
5.9,61,986.0,56.0,5.0,2
37.7,62,952.9,14.1,5.3,1
14.8,99,1029.5,17.5,1.2,1
38.4,93,1016.8,56.6,11.2,2
8.0,57,1026.9,73.3,17.5,2
34.7,85,965.6,12.7,10.1,2
31.8,63,1000.0,85.7,6.9,2
0.7,58,1028.5,59.9,18.3,2
-3.3,44,978.8,5.2,18.9,2
34.0,79,1004.6,73.6,6.0,2
-0.7,49,1034.7,55.5,6.7,2
-2.3,37,1006.2,75.0,16.2,2
-2.2,81,1030.3,75.6,1.8,2
8.3,31,1003.9,83.5,8.0,2
28.0,100,994.6,4.0,16.1,2
13.7,23,955.9,96.6,0.8,2
17.7,92,953.8,6.0,13.2,2
35.3,26,1008.8,90.4,4.2,0
24.2,52,1018.5,77.6,10.0,2
10.0,31,1033.8,88.0,2.0,2
30.8,46,969.7,7.7,2.1,0
-3.9,53,1021.9,37.1,9.8,1
38.5,77,993.9,75.7,11.6,2
7.3,36,1034.3,56.2,18.2,2
16.4,20,983.6,88.5,4.2,2
18.5,37,1001.7,21.7,16.8,0
22.3,28,1040.8,44.3,18.2,2
8.7,72,996.8,74.8,12.7,2
8.2,20,1033.3,27.4,14.4,2
18.4,68,1015.0,32.5,11.9,2
22.6,74,980.3,7.4,5.9,1
10.0,60,957.5,26.0,3.8,0
12.1,98,992.0,96.3,10.2,1
13.7,56,989.8,37.3,14.9,2
31.1,54,985.7,84.2,15.0,2
11.1,28,1000.3,13.1,3.9,1
37.9,29,1032.3,67.6,2.7,2
21.5,26,1022.5,53.4,10.2,2
38.7,33,959.6,94.4,14.2,2
0.4,85,951.3,10.5,2.4,0
32.3,72,1015.7,3.3,9.1,1
39.1,86,1036.5,67.5,3.4,2
13.3,69,999.5,84.1,4.9,2
19.5,31,1046.2,74.5,14.4,2
9.4,34,954.5,73.3,2.8,2
34.0,60,1013.7,3.1,1.7,0
-2.0,73,969.5,99.7,17.6,2
38.9,91,1046.5,88.9,1.2,2
30.8,86,996.4,40.5,19.7,2
7.6,23,986.1,94.1,0.7,2
2.4,34,1006.8,59.1,14.2,2
15.7,29,1032.5,54.7,11.6,2
23.8,87,1006.2,24.4,10.7,2
17.9,23,958.8,7.0,16.5,2
2.7,36,991.9,43.4,16.8,2
-4.9,27,969.1,5.5,10.7,2
18.7,71,1026.1,99.6,10.1,2
6.4,69,990.3,11.5,19.3,1
5.9,84,1033.4,3.9,5.8,1
10.6,20,975.5,17.9,17.3,2
9.3,44,992.9,35.6,19.9,2
13.9,29,981.3,96.8,6.1,2
37.1,34,977.8,65.3,1.0,2
33.2,55,1049.9,1.8,0.0,0
-1.5,87,951.3,4.9,4.9,1
1.0,100,1024.1,73.6,13.4,2
-3.0,52,981.8,22.4,5.3,1
1.9,46,966.7,15.7,16.4,2
15.0,34,980.0,93.5,3.0,2
0.7,71,950.4,91.9,9.2,2
31.7,20,1018.6,44.8,4.5,2
21.6,54,1005.7,21.0,5.1,1
-4.1,78,992.6,87.1,6.0,2
6.6,82,1026.9,20.7,2.6,0
16.1,76,955.2,78.2,11.4,2
32.4,36,1038.7,51.7,4.9,2
29.4,77,956.8,4.1,6.7,1
30.8,79,952.4,77.2,9.7,2
-1.0,91,1025.3,74.9,16.8,2
15.9,71,1021.8,67.2,8.4,2
10.1,28,1034.5,30.7,12.5,2
12.9,74,1024.8,13.4,14.6,2
28.4,42,1007.9,3.9,8.5,1
3.6,21,1030.6,13.4,12.9,2
7.1,77,1043.7,92.6,5.3,2
35.9,45,992.9,25.2,3.8,0
37.4,39,1003.9,99.1,16.8,2
7.9,82,1048.9,94.9,1.1,2
23.5,100,999.5,9.0,15.5,2
9.6,40,1011.9,95.0,15.7,2
-1.1,35,979.3,87.6,16.6,2
35.9,57,991.9,85.7,17.1,2
32.0,83,1002.0,72.9,5.3,2
37.2,67,964.1,15.2,18.8,2
15.3,45,1020.2,51.0,17.8,2
2.3,29,964.8,58.3,13.7,2
30.0,82,1025.1,22.8,10.6,2
19.4,43,986.0,31.9,2.6,1
37.5,62,1040.6,87.2,16.4,2
10.9,90,979.4,19.5,9.5,1
25.0,94,972.0,43.8,6.1,1
21.5,51,1014.8,34.1,7.7,1
28.8,71,991.2,15.7,5.4,1
29.5,33,1046.8,24.9,7.6,1
7.1,33,979.2,86.0,5.1,2
19.4,39,1003.4,96.7,12.6,2
-1.0,30,950.5,22.3,4.3,0
-2.0,95,973.8,81.1,7.0,2
11.2,39,987.1,94.5,16.7,2
4.3,98,1011.5,84.4,16.4,2
32.0,82,1018.9,91.4,19.7,2
8.9,42,1007.1,49.0,6.1,1
8.7,20,1038.9,40.0,1.7,1
11.1,92,1042.1,69.2,0.1,2
37.1,28,981.9,24.4,5.7,1
3.8,51,991.5,27.7,19.0,2
33.4,73,1022.4,41.7,13.1,2
33.5,28,1012.4,36.7,6.4,1
10.7,90,987.4,55.2,1.5,2
27.3,90,1025.9,74.5,7.6,2
31.9,26,1035.2,33.1,11.9,2
4.5,97,958.0,21.1,6.6,1
19.3,80,1048.6,54.0,7.2,2
10.2,100,1027.7,78.0,17.3,2
-3.6,81,958.2,27.2,17.3,2
19.8,21,987.7,20.4,16.5,2
8.8,79,1035.7,0.8,10.6,2
-4.6,37,974.5,20.5,8.4,1
2.0,20,988.2,94.2,19.1,2
35.3,61,1038.3,36.4,6.4,1
14.4,69,1040.4,41.8,16.3,2
5.5,41,967.7,10.6,4.6,0
18.3,55,1000.1,37.8,10.7,2
23.7,82,959.6,2.6,4.1,0
26.8,58,1031.1,8.0,7.3,1
10.8,79,979.7,6.3,14.3,2
-0.9,63,1033.7,24.1,18.5,2
19.4,60,980.6,31.6,4.7,1
10.6,35,961.6,67.9,19.4,2
28.8,95,959.7,71.5,1.6,2
3.7,81,990.4,44.1,17.1,2
33.6,23,979.7,98.1,0.7,2
35.7,98,958.8,49.9,17.5,2
-2.5,57,1029.6,94.3,14.6,2
11.7,82,1048.8,6.8,7.6,1
33.2,62,1024.8,33.3,19.1,2
11.2,47,1002.1,85.3,2.2,2
17.3,47,1029.1,31.8,10.8,2
18.1,46,1038.1,25.7,12.1,2
26.0,69,999.6,19.0,6.1,1
6.7,25,998.4,48.0,15.0,2
35.1,46,1036.3,16.4,2.5,0
38.7,34,981.5,57.9,7.8,2
-2.6,30,1011.6,67.6,13.0,2
17.2,56,1018.3,77.7,18.4,2
24.5,58,999.6,60.5,2.6,2
20.7,64,950.9,5.5,19.6,2
15.7,67,1036.4,90.3,0.2,2
37.4,30,988.1,36.6,9.9,1
5.0,63,1011.7,50.7,18.7,2
14.7,79,952.3,93.9,10.6,2
9.0,40,1011.0,6.0,15.7,2
0.5,47,1024.4,6.9,18.7,2
19.5,31,1044.7,19.9,18.1,2
6.5,90,988.8,44.4,2.4,1
38.4,74,1015.0,42.9,1.7,1
36.2,73,1033.7,49.1,19.3,2
27.9,90,1024.5,68.2,19.9,2
13.6,92,986.7,75.6,12.7,2
2.7,30,989.7,72.6,16.9,2
2.3,89,1024.7,81.3,0.1,2
39.1,21,994.8,77.7,9.1,2
0.6,21,1028.5,70.6,11.1,2
16.7,33,1021.5,2.4,1.0,0
25.4,64,1048.7,11.4,7.0,1
19.2,89,964.2,22.2,17.4,2
24.0,88,969.8,81.1,5.3,2
17.4,90,951.1,59.9,14.0,2
16.8,82,1034.5,72.0,10.7,2
19.5,91,958.2,71.2,14.9,2
5.6,35,987.7,11.1,9.1,0
14.6,78,1009.6,40.5,13.6,2
11.2,57,1032.2,55.3,1.0,1
16.5,73,1001.6,15.0,14.4,2
-2.4,91,1010.1,9.5,7.4,1
2.8,49,1024.3,94.0,15.3,2
10.0,95,1045.7,59.9,11.7,2
0.5,20,1046.6,4.9,4.4,0
16.9,35,1016.8,89.8,14.4,2
1.6,52,967.9,9.0,16.9,2
31.7,29,1027.0,12.9,0.3,0
15.2,24,957.2,97.0,4.4,2
37.9,85,986.2,8.7,7.1,1
-3.4,75,969.7,33.8,12.7,2
16.9,36,1021.3,33.0,5.7,1
18.2,25,951.9,20.8,10.6,2
33.2,85,1021.5,38.3,5.7,1
0.6,39,977.4,15.5,1.8,0
16.5,30,1001.9,2.6,12.2,2
6.0,71,950.6,83.6,6.2,2
11.7,94,1009.1,88.8,5.8,2
28.3,46,1022.2,81.0,7.7,2
13.3,53,971.2,98.7,12.6,2
39.3,22,972.1,25.8,18.3,2
-3.0,29,996.1,36.6,13.4,2
26.6,93,1027.8,92.7,13.7,2
-1.4,39,1043.9,3.3,12.5,2
0.6,61,1025.0,67.4,19.7,2
25.3,48,950.8,66.6,13.8,2
-0.9,97,1044.5,96.5,7.7,2
8.2,25,982.1,63.4,10.9,2
19.4,95,1001.0,33.6,10.8,2
26.5,65,1038.3,40.4,14.7,2
13.5,29,1000.4,70.7,15.3,2
9.8,77,975.5,73.6,0.3,2
14.2,94,1048.5,58.7,3.6,2
29.5,35,1029.6,47.0,11.3,2
28.8,64,1026.5,50.7,8.8,2
31.2,67,982.7,59.8,12.7,0
35.1,68,1028.0,48.0,3.9,1
13.5,59,975.4,56.2,6.6,2
33.3,40,1042.0,59.5,12.5,2
5.3,29,1005.3,88.9,10.4,2
33.4,86,1002.4,95.5,8.1,2
17.6,95,976.3,31.2,19.4,2
4.6,46,988.9,81.2,12.0,2
33.0,99,970.7,75.9,4.6,2
33.3,81,952.2,88.1,9.4,2
29.3,53,953.6,40.4,2.3,1
16.9,90,1004.9,41.7,17.1,2
36.9,25,984.2,78.4,13.9,2
37.3,42,1018.4,34.2,0.1,1
16.4,76,1008.3,95.1,12.3,2
-3.0,46,1023.0,16.9,6.7,1
27.9,40,992.1,19.4,13.1,2
-0.2,28,1018.1,57.3,12.0,2
34.3,32,952.1,47.6,4.6,1
11.6,75,1006.2,9.6,16.3,2
5.1,83,1040.8,23.8,8.7,1
26.0,69,1008.0,40.9,1.1,1
-1.3,89,1047.0,27.8,8.1,1
6.2,97,1026.5,28.6,6.4,1
21.8,41,1017.0,17.7,19.8,2
4.9,45,1028.7,86.4,8.6,2
12.7,74,1001.7,69.4,5.9,2
36.4,44,958.7,2.3,16.1,2
27.1,75,983.4,44.3,17.5,2
23.0,36,1030.2,83.0,15.3,2
-3.3,53,1006.4,40.1,12.6,2
39.2,24,991.6,34.3,3.0,1
-3.9,35,1015.6,23.2,12.4,2
25.5,70,1020.4,85.4,19.1,2
22.4,94,982.2,40.2,18.2,2
-1.5,51,977.7,46.2,0.2,1
0.7,47,1043.4,98.4,17.6,2
21.3,38,1020.8,63.2,11.7,2
22.2,99,968.3,36.6,0.5,1
8.5,81,1032.9,88.9,4.1,2
-3.0,29,1016.4,82.9,18.3,2
36.4,71,1018.0,83.3,13.3,2
15.4,47,990.5,17.7,13.0,2
3.3,97,980.7,90.9,9.7,2
29.7,41,994.4,90.0,16.7,2
24.4,67,1000.5,7.1,18.0,2
5.0,81,958.2,99.0,10.5,2
10.6,48,1015.8,41.4,2.8,1
5.5,38,1045.7,29.9,16.6,2
33.4,52,1006.1,14.7,2.8,0
23.0,97,996.9,32.6,14.6,2
